source_link_id,manual_id,publication_number,ata_code,page_sequence,page_label,page_type,title,rescarta_object_id,rescarta_page_id,rescarta_url,source_url,tiff_path,ocr_text_path
t_p_120_1176:t_p_120_1176_p000262,t_p_120_1176,T.P. 120/1176,25-21-00,262,1203,,,t_p_120_1176,000262,http://localhost:8080/rescarta/t_p_120_1176/000262,http://localhost:8080/rescarta/t_p_120_1176/000262,local_data\rescarta_exports\t_p_120_1176\pages\000262_00000262.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000262_00000262.txt
t_p_120_1176:t_p_120_1176_p000263,t_p_120_1176,T.P. 120/1176,25-21-00,263,1204,,,t_p_120_1176,000263,http://localhost:8080/rescarta/t_p_120_1176/000263,http://localhost:8080/rescarta/t_p_120_1176/000263,local_data\rescarta_exports\t_p_120_1176\pages\000263_00000263.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000263_00000263.txt
t_p_120_1176:t_p_120_1176_p000264,t_p_120_1176,T.P. 120/1176,25-21-00,264,1205,,,t_p_120_1176,000264,http://localhost:8080/rescarta/t_p_120_1176/000264,http://localhost:8080/rescarta/t_p_120_1176/000264,local_data\rescarta_exports\t_p_120_1176\pages\000264_00000264.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000264_00000264.txt
t_p_120_1176:t_p_120_1176_p000265,t_p_120_1176,T.P. 120/1176,25-21-00,265,1206,,,t_p_120_1176,000265,http://localhost:8080/rescarta/t_p_120_1176/000265,http://localhost:8080/rescarta/t_p_120_1176/000265,local_data\rescarta_exports\t_p_120_1176\pages\000265_00000265.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000265_00000265.txt
t_p_120_1176:t_p_120_1176_p000266,t_p_120_1176,T.P. 120/1176,25-21-00,266,1207,,,t_p_120_1176,000266,http://localhost:8080/rescarta/t_p_120_1176/000266,http://localhost:8080/rescarta/t_p_120_1176/000266,local_data\rescarta_exports\t_p_120_1176\pages\000266_00000266.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000266_00000266.txt
t_p_120_1176:t_p_120_1176_p000267,t_p_120_1176,T.P. 120/1176,25-21-00,267,1208,,,t_p_120_1176,000267,http://localhost:8080/rescarta/t_p_120_1176/000267,http://localhost:8080/rescarta/t_p_120_1176/000267,local_data\rescarta_exports\t_p_120_1176\pages\000267_00000267.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000267_00000267.txt
t_p_120_1176:t_p_120_1176_p000268,t_p_120_1176,T.P. 120/1176,25-21-00,268,1209,,,t_p_120_1176,000268,http://localhost:8080/rescarta/t_p_120_1176/000268,http://localhost:8080/rescarta/t_p_120_1176/000268,local_data\rescarta_exports\t_p_120_1176\pages\000268_00000268.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000268_00000268.txt
t_p_120_1176:t_p_120_1176_p000269,t_p_120_1176,T.P. 120/1176,25-21-00,269,1210,,,t_p_120_1176,000269,http://localhost:8080/rescarta/t_p_120_1176/000269,http://localhost:8080/rescarta/t_p_120_1176/000269,local_data\rescarta_exports\t_p_120_1176\pages\000269_00000269.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000269_00000269.txt
t_p_120_1176:t_p_120_1176_p000270,t_p_120_1176,T.P. 120/1176,25-21-00,270,1211,,,t_p_120_1176,000270,http://localhost:8080/rescarta/t_p_120_1176/000270,http://localhost:8080/rescarta/t_p_120_1176/000270,local_data\rescarta_exports\t_p_120_1176\pages\000270_00000270.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000270_00000270.txt
t_p_120_1176:t_p_120_1176_p000271,t_p_120_1176,T.P. 120/1176,25-21-00,271,1212,,,t_p_120_1176,000271,http://localhost:8080/rescarta/t_p_120_1176/000271,http://localhost:8080/rescarta/t_p_120_1176/000271,local_data\rescarta_exports\t_p_120_1176\pages\000271_00000271.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000271_00000271.txt
