page_number,page_id,legacy_route,primary_route,secondary_routes,route_confidence_score,route_confidence_band,auto_resolved,multi_route_required,validator_required,do_not_embed,candidate_routes,route_reasons,validator_contracts,ocr_text_word_count,part_number_count,source_member,source_image_path,ocr_text_path
478,t_p_120_1176_p000478,table,procedure_or_description,[],62.0,low,False,True,True,True,"[""procedure_or_description"", ""table_or_index""]","[""procedure_terms_and_prose_density""]","[""procedure_description_context_scan""]",366,0,00000478.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000478.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000478.txt
479,t_p_120_1176_p000479,table,mixed_text_and_figure,"[""procedure_or_description""]",70.0,medium,False,True,True,True,"[""mixed_text_and_figure"", ""procedure_or_description"", ""table_or_index""]","[""figure_caption_with_meaningful_prose""]","[""mixed_text_visual_split_scan"", ""procedure_description_context_scan""]",235,0,00000479.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000479.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000479.txt
480,t_p_120_1176_p000480,table,mixed_text_and_figure,"[""procedure_or_description""]",70.0,medium,False,True,True,True,"[""mixed_text_and_figure"", ""procedure_or_description"", ""table_or_index""]","[""figure_caption_with_meaningful_prose""]","[""mixed_text_visual_split_scan"", ""procedure_description_context_scan""]",194,2,00000480.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000480.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000480.txt
481,t_p_120_1176_p000481,table,mixed_text_and_figure,[],70.0,medium,False,True,True,True,"[""mixed_text_and_figure"", ""table_or_index""]","[""figure_caption_with_meaningful_prose""]","[""mixed_text_visual_split_scan""]",256,4,00000481.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000481.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000481.txt
482,t_p_120_1176_p000482,table,review_required,"[""table_or_index""]",0.0,low,False,True,True,True,"[""table_or_index""]","[""no_route_met_medium_confidence_threshold""]","[""validator_gated_review_resolution_scan"", ""table_ocr_table_candidate_scan""]",267,5,00000482.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000482.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000482.txt
483,t_p_120_1176_p000483,table,mixed_text_and_figure,"[""procedure_or_description""]",70.0,medium,False,True,True,True,"[""mixed_text_and_figure"", ""procedure_or_description"", ""table_or_index""]","[""figure_caption_with_meaningful_prose""]","[""mixed_text_visual_split_scan"", ""procedure_description_context_scan""]",264,0,00000483.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000483.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000483.txt
484,t_p_120_1176_p000484,table,mixed_text_and_figure,"[""procedure_or_description""]",70.0,medium,False,True,True,True,"[""mixed_text_and_figure"", ""procedure_or_description"", ""table_or_index""]","[""figure_caption_with_meaningful_prose""]","[""mixed_text_visual_split_scan"", ""procedure_description_context_scan""]",216,0,00000484.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000484.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000484.txt
485,t_p_120_1176_p000485,table,procedure_or_description,"[""mixed_text_and_figure""]",82.0,medium,False,True,True,True,"[""procedure_or_description"", ""mixed_text_and_figure""]","[""procedure_or_description_terms_with_paragraph_text""]","[""procedure_description_context_scan"", ""mixed_text_visual_split_scan""]",244,0,00000485.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000485.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000485.txt
486,t_p_120_1176_p000486,table,procedure_or_description,[],82.0,medium,False,False,True,True,"[""procedure_or_description""]","[""procedure_or_description_terms_with_paragraph_text""]","[""procedure_description_context_scan""]",232,1,00000486.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000486.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000486.txt
487,t_p_120_1176_p000487,table,procedure_or_description,[],82.0,medium,False,False,True,True,"[""procedure_or_description""]","[""procedure_or_description_terms_with_paragraph_text""]","[""procedure_description_context_scan""]",242,0,00000487.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000487.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000487.txt
